method_name	Fscoreall_value_1	Fscoreall_value_2	Fscoreall_value_3	Fscoreall_value_4	Fscoreall_value_5	average_value	max_value	min_value	precisionall_value_1	precisionall_value_2	precisionall_value_3	precisionall_value_4	precisionall_value_5	average_value	max_value	min_value	recallall_value_1	recallall_value_2	recallall_value_3	recallall_value_4	recallall_value_5	average_value	max_value	min_value	AUCall_value_1	AUCall_value_2	AUCall_value_3	AUCall_value_4	AUCall_value_5	average_value	max_value	min_value
abalone19_MLP_normal_20000_normal_num_10_half	0.09166666666666667	0.20000000000000004	0.0	0.0	0.0	0.12500000000000003	0.13333333333333333	0.20000000000000004	0.08040404040404041	0.2	0.0	0.0	0.0	0.09090909090909091	0.1111111111111111	0.2	0.11333333333333333	0.2	0.0	0.0	0.0	0.2	0.16666666666666666	0.2	0.5529299828990267	0.5975874547647768	0.49698795180722893	0.49698795180722893	0.4975903614457831	0.5939759036144578	0.578508242862887	0.5975874547647768
abalone19_MLP_normal_20000_bm_num_10_half	0.09166666666666667	0.20000000000000004	0.0	0.0	0.0	0.12500000000000003	0.13333333333333333	0.20000000000000004	0.08040404040404041	0.2	0.0	0.0	0.0	0.09090909090909091	0.1111111111111111	0.2	0.11333333333333333	0.2	0.0	0.0	0.0	0.2	0.16666666666666666	0.2	0.5529299828990267	0.5975874547647768	0.49698795180722893	0.49698795180722893	0.4975903614457831	0.5939759036144578	0.578508242862887	0.5975874547647768
abalone19_MLP_normal_20000_im_num_10_half	0.1	0.33333333333333337	0.0	0.0	0.0	0.0	0.16666666666666666	0.33333333333333337	0.23333333333333334	1.0	0.0	0.0	0.0	0.0	0.16666666666666666	1.0	0.07333333333333333	0.2	0.0	0.0	0.0	0.0	0.16666666666666666	0.2	0.5346177472253308	0.6	0.4951807228915663	0.49819277108433735	0.49939759036144576	0.4951807228915663	0.5803176517893045	0.6
abalone19_MLP_normal_20000_both_num_10_half	0.09968253968253968	0.22222222222222224	0.0	0.0	0.0	0.13333333333333333	0.14285714285714288	0.22222222222222224	0.095	0.25	0.0	0.0	0.0	0.1	0.125	0.25	0.11333333333333333	0.2	0.0	0.0	0.0	0.2	0.16666666666666666	0.2	0.5534122012779708	0.5981905910735826	0.49698795180722893	0.49698795180722893	0.49819277108433735	0.594578313253012	0.5791113791716929	0.5981905910735826
abalone19_MLP_normal_15000_normal_num_10_half	0.15563025210084036	0.4	0.0	0.4	0.0	0.14285714285714285	0.23529411764705885	0.0	0.11858585858585857	0.3	0.0	0.3	0.0	0.1111111111111111	0.18181818181818182	0.0	0.22666666666666666	0.6	0.0	0.6	0.0	0.2	0.3333333333333333	0.0	0.6092349131144603	0.7957831325301205	0.4969843184559711	0.7957831325301205	0.49698795180722893	0.5951807228915663	0.6612384398874145	0.4969843184559711
abalone19_MLP_normal_15000_bm_num_10_half	0.1338095238095238	0.2857142857142857	0.0	0.2857142857142857	0.0	0.13333333333333333	0.25	0.0	0.10444444444444442	0.2222222222222222	0.0	0.2222222222222222	0.0	0.1	0.2	0.0	0.18666666666666668	0.4	0.0	0.4	0.0	0.2	0.3333333333333333	0.0	0.5892350584485107	0.6957831325301204	0.4969843184559711	0.6957831325301204	0.49698795180722893	0.594578313253012	0.6618415761962203	0.4969843184559711
abalone19_MLP_normal_15000_im_num_10_half	0.08444444444444446	0.22222222222222224	0.0	0.20000000000000004	0.0	0.22222222222222224	0.0	0.0	0.09	0.25	0.0	0.2	0.0	0.25	0.0	0.0	0.08	0.2	0.0	0.2	0.0	0.2	0.0	0.0	0.5383123810077463	0.5981927710843373	0.4969843184559711	0.597590361445783	0.49939759036144576	0.5981927710843373	0.4969843184559711	0.49939686369119424
abalone19_MLP_normal_15000_both_num_10_half	0.09379953379953379	0.1818181818181818	0.0	0.1818181818181818	0.0	0.15384615384615385	0.13333333333333333	0.0	0.08055555555555555	0.16666666666666666	0.0	0.16666666666666666	0.0	0.125	0.1111111111111111	0.0	0.11333333333333333	0.2	0.0	0.2	0.0	0.2	0.16666666666666666	0.0	0.5532914286821592	0.5969879518072289	0.49758745476477684	0.5969879518072289	0.4975903614457831	0.5957831325301204	0.578508242862887	0.49758745476477684
abalone19_MLP_normal_10000_normal_num_10_half	0.12380952380952381	0.2222222222222222	0.0	0.1111111111111111	0.0	0.07142857142857142	0.21428571428571427	0.2222222222222222	0.08212222560048647	0.15384615384615385	0.0	0.07692307692307693	0.0	0.043478260869565216	0.13636363636363635	0.15384615384615385	0.26	0.5	0.0	0.2	0.0	0.2	0.5	0.4	0.621200459255599	0.73854041013269	0.49457831325301205	0.5927710843373494	0.49457831325301205	0.5867469879518071	0.73854041013269	0.6933655006031363
abalone19_MLP_normal_10000_bm_num_10_half	0.12500926524455935	0.23999999999999996	0.0	0.11764705882352941	0.0	0.07692307692307693	0.23999999999999996	0.19047619047619047	0.08276942355889724	0.15789473684210525	0.0	0.08333333333333333	0.0	0.047619047619047616	0.15789473684210525	0.125	0.26	0.5	0.0	0.2	0.0	0.2	0.5	0.4	0.6214414231110206	0.7403498190591074	0.4939759036144578	0.5933734939759037	0.4939759036144578	0.5879518072289156	0.7403498190591074	0.6915560916767188
abalone19_MLP_normal_10000_im_num_10_half	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4981914630778846	0.5	0.4957780458383595	0.4987951807228916	0.5	0.4975903614457831	0.4957780458383595	0.4987937273823884
abalone19_MLP_normal_10000_both_num_10_half	0.10032467532467533	0.28571428571428575	0.0	0.0	0.0	0.0909090909090909	0.28571428571428575	0.12500000000000003	0.06994652406417112	0.2	0.0	0.0	0.0	0.058823529411764705	0.2	0.09090909090909091	0.18	0.5	0.0	0.0	0.0	0.2	0.5	0.2	0.5836112604822183	0.7427623642943304	0.4951807228915663	0.4951807228915663	0.49578313253012046	0.5903614457831325	0.7427623642943304	0.593968636911942
abalone19_MLP_normal_8000_normal_num_10_half	0.11870967741935483	0.1935483870967742	0.0	0.16666666666666666	0.0	0.06666666666666667	0.1935483870967742	0.16666666666666666	0.07410526315789474	0.12	0.0	0.10526315789473684	0.0	0.04	0.12	0.10526315789473684	0.3	0.5	0.0	0.4	0.0	0.2	0.5	0.4	0.6378256572732426	0.7367310012062726	0.48734939759036144	0.6897590361445782	0.48734939759036144	0.5855421686746988	0.7367310012062726	0.6897466827503016
abalone19_MLP_normal_8000_bm_num_10_half	0.12621546369672307	0.21428571428571427	0.0	0.1739130434782609	0.0	0.06896551724137931	0.21428571428571427	0.1739130434782609	0.08005050505050505	0.13636363636363635	0.0	0.1111111111111111	0.0	0.041666666666666664	0.13636363636363635	0.1111111111111111	0.3	0.5	0.0	0.4	0.0	0.2	0.5	0.4	0.6380672024648655	0.73854041013269	0.48493975903614456	0.6903614457831325	0.48493975903614456	0.5861445783132531	0.73854041013269	0.6903498190591073
abalone19_MLP_normal_8000_im_num_10_half	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.497347798915808	0.49819277108433735	0.4951749095295537	0.49819277108433735	0.49819277108433735	0.49698795180722893	0.4951749095295537	0.49819059107358266
abalone19_MLP_normal_8000_both_num_10_half	0.12004253056884635	0.2222222222222222	0.0	0.10526315789473682	0.0	0.0909090909090909	0.18181818181818182	0.2222222222222222	0.081819650937298	0.15384615384615385	0.0	0.07142857142857142	0.0	0.058823529411764705	0.125	0.15384615384615385	0.22666666666666666	0.4	0.0	0.2	0.0	0.2	0.3333333333333333	0.4	0.6052574108254489	0.6933655006031363	0.49216867469879516	0.5921686746987951	0.49216867469879516	0.5903614457831325	0.6582227583433855	0.6933655006031363
abalone19_MLP_normal_5000_normal_num_10_half	0.08711358718945364	0.13043478260869565	0.03703703703703703	0.1224489795918367	0.03703703703703703	0.07547169811320754	0.13043478260869565	0.07017543859649124	0.04874363731506588	0.075	0.02040816326530612	0.06818181818181818	0.02040816326530612	0.041666666666666664	0.075	0.038461538461538464	0.42000000000000004	0.6	0.2	0.6	0.2	0.4	0.5	0.4	0.6832403679858154	0.7753012048192772	0.5710843373493976	0.7753012048192772	0.5710843373493976	0.672289156626506	0.7276839565741858	0.6698431845597105
abalone19_MLP_normal_5000_bm_num_10_half	0.10488600830064246	0.15384615384615385	0.049999999999999996	0.14634146341463414	0.049999999999999996	0.09090909090909091	0.15384615384615385	0.08333333333333333	0.06012150640057616	0.09090909090909091	0.02857142857142857	0.08333333333333333	0.02857142857142857	0.05128205128205128	0.09090909090909091	0.046511627906976744	0.42000000000000004	0.6	0.2	0.6	0.2	0.4	0.5	0.4	0.68890534393303	0.7801204819277109	0.5795180722891565	0.7801204819277109	0.5795180722891565	0.6777108433734939	0.7319059107358262	0.6752714113389626
abalone19_MLP_normal_5000_im_num_10_half	0.09790209790209789	0.3076923076923077	0.0	0.3076923076923077	0.0	0.0	0.0	0.1818181818181818	0.08333333333333333	0.25	0.0	0.25	0.0	0.0	0.0	0.16666666666666666	0.12000000000000002	0.4	0.0	0.4	0.0	0.0	0.0	0.2	0.5554193614021828	0.6963855421686747	0.49336550060313633	0.6963855421686747	0.49457831325301205	0.49578313253012046	0.49336550060313633	0.5969843184559711
abalone19_MLP_normal_5000_both_num_10_half	0.09572871572871573	0.1818181818181818	0.0	0.1818181818181818	0.0	0.1142857142857143	0.07142857142857144	0.1111111111111111	0.05885687999539992	0.11764705882352941	0.0	0.11764705882352941	0.0	0.06666666666666667	0.045454545454545456	0.06451612903225806	0.2733333333333333	0.4	0.0	0.4	0.0	0.4	0.16666666666666666	0.4	0.6226834963496931	0.6909638554216867	0.48614457831325303	0.6909638554216867	0.48614457831325303	0.6831325301204819	0.5706674708484119	0.6825090470446321
abalone19_MLP_normal_2000_normal_num_10_half	0.06038636787674222	0.07476635514018691	0.021052631578947368	0.06896551724137931	0.021052631578947368	0.06896551724137931	0.06818181818181818	0.07476635514018691	0.0319067130257948	0.0392156862745098	0.011111111111111112	0.036036036036036036	0.011111111111111112	0.036585365853658534	0.036585365853658534	0.0392156862745098	0.5800000000000001	0.8	0.2	0.8	0.2	0.6	0.5	0.8	0.7355164445477931	0.8408926417370326	0.5463855421686746	0.8355421686746989	0.5463855421686746	0.7524096385542169	0.7023522316043425	0.8408926417370326
abalone19_MLP_normal_2000_bm_num_10_half	0.07515799714135103	0.1081081081081081	0.0	0.1081081081081081	0.0	0.09302325581395349	0.0851063829787234	0.08955223880597016	0.04155403560383873	0.057971014492753624	0.0	0.057971014492753624	0.0	0.05263157894736842	0.04878048780487805	0.04838709677419355	0.42666666666666664	0.8	0.0	0.8	0.0	0.4	0.3333333333333333	0.6	0.684523909873511	0.8608433734939759	0.4759036144578313	0.8608433734939759	0.4759036144578313	0.6783132530120481	0.6431443506232408	0.7644149577804584
abalone19_MLP_normal_2000_im_num_10_half	0.07372549019607844	0.23529411764705882	0.0	0.23529411764705882	0.0	0.0	0.0	0.13333333333333333	0.05333333333333333	0.16666666666666666	0.0	0.16666666666666666	0.0	0.0	0.0	0.1	0.12000000000000002	0.4	0.0	0.4	0.0	0.0	0.0	0.2	0.5532503960352871	0.6939759036144577	0.49096385542168675	0.6939759036144577	0.49096385542168675	0.49216867469879516	0.4945717732207479	0.594571773220748
abalone19_MLP_normal_2000_both_num_10_half	0.09657657657657659	0.21621621621621623	0.0	0.21621621621621623	0.0	0.05714285714285715	0.09523809523809525	0.1142857142857143	0.05611111111111111	0.125	0.0	0.125	0.0	0.03333333333333333	0.05555555555555555	0.06666666666666667	0.3466666666666667	0.8	0.0	0.8	0.0	0.2	0.3333333333333333	0.4	0.6557339611764307	0.8831325301204819	0.48373493975903614	0.8831325301204819	0.48373493975903614	0.5825301204819276	0.6461600321672698	0.6831121833534378
abalone19_MLP_bm_20000_normal_num_10_half	0.02695116242987855	0.05925925925925926	0.012674271229404309	0.021276595744680854	0.012674271229404309	0.0196078431372549	0.02193784277879342	0.05925925925925926	0.013778206614726169	0.03076923076923077	0.006377551020408163	0.010752688172043012	0.006377551020408163	0.009900990099009901	0.011090573012939002	0.03076923076923077	0.96	1.0	0.8	1.0	1.0	1.0	1.0	0.8	0.690747307686718	0.8240048250904705	0.5307228915662651	0.7228915662650602	0.5307228915662651	0.6987951807228916	0.6773220747889023	0.8240048250904705
abalone19_MLP_bm_20000_bm_num_10_half	0.05714285714285715	0.28571428571428575	0.0	0.28571428571428575	0.0	0.0	0.0	0.0	0.1	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.04	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.5187941633845393	0.5993975903614458	0.49758745476477684	0.5993975903614458	0.49939759036144576	0.49939759036144576	0.49758745476477684	0.49819059107358266
abalone19_MLP_bm_20000_im_num_10_half	0.11830808080808079	0.22222222222222224	0.0	0.22222222222222224	0.0	0.1818181818181818	0.1875	0.0	0.1064102564102564	0.25	0.0	0.25	0.0	0.16666666666666666	0.11538461538461539	0.0	0.18	0.5	0.0	0.2	0.0	0.2	0.5	0.0	0.5755382446553402	0.736127864897467	0.4487951807228916	0.5981927710843373	0.4487951807228916	0.5969879518072289	0.736127864897467	0.49758745476477684
abalone19_MLP_bm_20000_both_num_10_half	0.1488095238095238	0.33333333333333337	0.0	0.33333333333333337	0.0	0.28571428571428575	0.125	0.0	0.32	1.0	0.0	1.0	0.0	0.5	0.1	0.0	0.11333333333333333	0.2	0.0	0.2	0.0	0.2	0.16666666666666666	0.0	0.5524480551881834	0.6	0.4867469879518072	0.6	0.4867469879518072	0.5993975903614458	0.5779051065540812	0.49819059107358266
abalone19_MLP_bm_15000_normal_num_10_half	0.023301133065667657	0.02849002849002849	0.018181818181818184	0.02173913043478261	0.02849002849002849	0.018181818181818184	0.023094688221709007	0.024999999999999998	0.011796403937855436	0.014450867052023121	0.009174311926605505	0.01098901098901099	0.014450867052023121	0.009174311926605505	0.0117096018735363	0.012658227848101266	0.9666666666666668	1.0	0.8333333333333334	1.0	1.0	1.0	0.8333333333333334	1.0	0.7250225510001405	0.794578313253012	0.6621431443506233	0.7289156626506024	0.794578313253012	0.6746987951807228	0.6621431443506233	0.7647768395657418
abalone19_MLP_bm_15000_bm_num_10_half	0.03333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.03333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.03333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.5154609753852564	0.5803176517893045	0.4987951807228916	0.5	0.4987951807228916	0.4987951807228916	0.5803176517893045	0.49939686369119424
abalone19_MLP_bm_15000_im_num_10_half	0.041474654377880185	0.14285714285714288	0.0	0.0	0.0	0.06451612903225806	0.14285714285714288	0.0	0.032692307692307694	0.125	0.0	0.0	0.0	0.038461538461538464	0.125	0.0	0.07333333333333333	0.2	0.0	0.0	0.0	0.2	0.16666666666666666	0.0	0.5318462268858304	0.5849397590361446	0.49578313253012046	0.5	0.49578313253012046	0.5849397590361446	0.5791113791716929	0.49939686369119424
abalone19_MLP_bm_15000_both_num_10_half	0.030769230769230764	0.15384615384615383	0.0	0.0	0.0	0.0	0.15384615384615383	0.0	0.02857142857142857	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.03333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.5152198661957843	0.5797145154804987	0.49819277108433735	0.5	0.49819277108433735	0.4987951807228916	0.5797145154804987	0.49939686369119424
