21	7	7	6	6	6	6	6	6	6	6	3318	7	7	6	6	6	6	6	6	6	6
21	18	18	18	18	18	18	18	18	18	18	3318	18	18	18	18	18	18	18	18	18	18
21	6	5	5	5	5	5	5	5	5	5	3318	6	5	5	5	5	5	5	5	5	5
20	10	10	10	10	10	10	10	10	10	10	3319	10	10	10	10	10	10	10	10	10	10
21	8	8	8	8	8	8	8	8	8	8	3319	8	8	8	8	8	8	8	8	8	8
62	55	55	52	52	52	52	52	52	52	52	206	55	55	52	52	52	52	52	52	52	52
62	57	57	57	57	57	57	57	57	57	57	207	57	57	57	57	57	57	57	57	57	57
62	56	56	53	53	53	53	53	53	53	53	207	56	56	53	53	53	53	53	53	53	53
61	54	54	50	50	48	48	48	48	48	48	208	54	54	50	50	48	48	48	48	48	48
61	56	56	56	56	56	56	56	56	56	56	208	56	56	56	56	56	56	56	56	56	56
56	50	47	47	47	47	47	47	47	47	47	115	50	47	47	47	47	47	47	47	47	47
56	51	48	46	46	46	46	46	46	46	46	115	51	48	46	46	46	46	46	46	46	46
56	50	47	47	47	47	47	47	47	47	47	115	50	47	47	47	47	47	47	47	47	47
56	50	43	43	43	43	43	43	43	43	43	115	50	43	43	43	43	43	43	43	43	43
56	49	48	48	48	48	48	48	48	48	48	116	49	48	48	48	48	48	48	48	48	48
8	7	7	7	7	7	7	7	7	7	7	163	7	7	7	7	7	7	7	7	7	7
7	6	6	6	6	6	6	6	6	6	6	164	6	6	6	6	6	6	6	6	6	6
7	6	6	6	6	6	6	6	6	6	6	164	6	6	6	6	6	6	6	6	6	6
7	6	6	6	6	6	6	6	6	6	6	164	6	6	6	6	6	6	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	165	7	7	7	7	7	7	7	7	7	7
263	152	148	140	140	140	140	140	140	140	140	4114	152	148	140	140	140	140	140	140	140	140
263	142	140	130	130	130	130	130	130	130	130	4114	142	140	130	130	130	130	130	130	130	130
264	149	146	128	128	125	125	125	125	125	125	4114	149	146	128	128	125	125	125	125	125	125
263	158	153	142	140	138	138	138	138	138	138	4115	158	153	142	140	138	138	138	138	138	138
263	153	149	139	139	137	137	137	137	137	137	4115	153	149	139	139	137	137	137	137	137	137
214	190	188	174	173	167	167	167	167	167	167	400	190	188	174	173	167	167	167	167	167	167
214	184	181	170	170	167	167	167	167	167	167	400	184	181	170	170	167	167	167	167	167	167
214	191	189	184	184	183	183	183	183	183	183	400	191	189	184	184	183	183	183	183	183	183
215	185	182	169	169	167	167	166	166	166	166	400	185	182	169	169	167	167	166	166	166	166
215	183	180	174	174	173	173	173	173	173	173	400	183	180	174	174	173	173	173	173	173	173
159	151	150	149	149	149	149	149	149	149	149	517	151	150	149	149	149	149	149	149	149	149
159	141	133	129	129	129	129	129	129	129	129	518	141	133	129	129	129	129	129	129	129	129
159	143	143	137	137	136	136	135	135	135	135	518	143	143	137	137	136	136	135	135	135	135
159	145	136	132	132	131	131	131	131	131	131	518	145	136	132	132	131	131	131	131	131	131
160	149	144	138	137	134	134	134	134	134	134	517	149	144	138	137	134	134	134	134	134	134
36	32	29	28	28	28	28	28	28	28	28	1151	32	29	28	28	28	28	28	28	28	28
35	33	32	31	31	31	31	31	31	31	31	1152	33	32	31	31	31	31	31	31	31	31
35	32	32	30	30	29	29	29	29	29	29	1152	32	32	30	30	29	29	29	29	29	29
35	32	32	31	31	31	31	31	31	31	31	1152	32	32	31	31	31	31	31	31	31	31
35	33	33	33	33	33	33	33	33	33	33	1153	33	33	33	33	33	33	33	33	33	33
131	105	103	98	98	97	97	96	96	96	96	1056	105	103	98	98	97	97	96	96	96	96
130	107	106	99	99	99	99	99	99	99	99	1057	107	106	99	99	99	99	99	99	99	99
130	103	99	94	94	93	93	93	93	93	93	1057	103	99	94	94	93	93	93	93	93	93
130	106	102	93	93	92	92	92	92	92	92	1057	106	102	93	93	92	92	92	92	92	92
131	107	105	103	103	102	102	102	102	102	102	1057	107	105	103	103	102	102	102	102	102	102
28	27	27	27	27	27	27	27	27	27	27	1159	27	27	27	27	27	27	27	27	27	27
28	24	24	23	23	23	23	23	23	23	23	1159	24	24	23	23	23	23	23	23	23	23
28	28	28	27	27	27	27	27	27	27	27	1159	28	28	27	27	27	27	27	27	27	27
28	26	26	25	25	25	25	25	25	25	25	1159	26	26	25	25	25	25	25	25	25	25
28	27	27	27	27	27	27	27	27	27	27	1160	27	27	27	27	27	27	27	27	27	27
