glass5	yeast5
0.6666666666666666	0.7294305694305695
0.6666666666666666	0.7819502511258901
0.6666666666666666	0.7749256876838148
0.6666666666666666	0.7734981086331671
0.540952380952381	0.37879286591714384
0.6	0.7626134233910291
0.6888888888888889	0.7193249486047191
0.8666666666666666	0.7816825533218712
0.4022222222222222	0.5794728147669324
0.38	0.6303962523885049
0.42000000000000004	0.6905003489742445
0.3466666666666667	0.665910125720152
0.6	0.7309494787131918
0.6	-1
0.6	-1
0.6	-1
0.6666666666666666	0.7440005783062219
0.6666666666666666	-1
0.6666666666666666	-1
0.6666666666666666	-1
0.1711407454167653	0.30592262605989207
0.2	-1
0.44666666666666666	-1
0.6933333333333334	-1
0.12037319002836244	0.3052685159467878
0.3333333333333333	-1
0.3874747474747474	-1
0.6476190476190476	-1
0.6	0.762029642295297
0.6	-1
0.6	-1
0.6	-1
